Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,30059.58,30311.95,29997.62,30185.82,30185.82,374230000
2022-10-18,30697.52,30837.9,30301.83,30523.8,30523.8,390760000
2022-10-19,30439.04,30662.11,30226.9,30423.81,30423.81,315540000
2022-10-20,30411.92,30822.96,30265.2,30333.59,30333.59,333190000
2022-10-21,30291.18,31119.27,30206.28,31082.56,31082.56,418190000
2022-10-24,31187.32,31603.63,31161.41,31499.62,31499.62,345040000
2022-10-25,31463.65,31876.15,31423.53,31836.74,31836.74,342090000
2022-10-26,31738.44,32172.42,31738.44,31839.11,31839.11,430400000
2022-10-27,32062.14,32388.42,31993.21,32033.28,32033.28,392530000
2022-10-28,32204.31,32889.81,32158.38,32861.8,32861.8,499420000
2022-10-31,32754.27,32883.86,32586.93,32732.95,32732.95,394100000
2022-11-01,32862.79,32975.48,32485.23,32653.2,32653.2,325570000
2022-11-02,32576.28,33071.93,32139.77,32147.76,32147.76,399650000
2022-11-03,31985.05,32185.71,31727.05,32001.25,32001.25,357270000
2022-11-04,32265.01,32611.52,31938.92,32403.22,32403.22,425480000
2022-11-07,32454.1,32895.59,32424.99,32827.0,32827.0,341100000
2022-11-08,32934.56,33355.39,32831.46,33160.83,33160.83,342880000
2022-11-09,33004.47,33065.11,32478.87,32513.94,32513.94,360820000
2022-11-10,33263.91,33727.73,33167.82,33715.37,33715.37,488260000
2022-11-11,33797.75,33817.96,33394.43,33747.86,33747.86,430720000
2022-11-14,33662.05,33964.3,33533.96,33536.7,33536.7,360590000
2022-11-15,33755.94,33987.06,33320.2,33592.92,33592.92,391840000
2022-11-16,33554.93,33682.83,33516.99,33553.83,33553.83,305540000
2022-11-17,33329.27,33616.02,33239.75,33546.32,33546.32,321570000
2022-11-18,33606.59,33827.94,33540.64,33745.69,33745.69,314530000
2022-11-21,33760.3,33864.59,33559.18,33700.28,33700.28,352960000
2022-11-22,33810.05,34115.7,33810.05,34098.1,34098.1,279600000
2022-11-23,34091.57,34262.07,34004.64,34194.06,34194.06,236820000
2022-11-25,34213.04,34386.51,34199.57,34347.03,34347.03,131930000
2022-11-28,34275.91,34303.88,33799.35,33849.46,33849.46,303020000
2022-11-29,33847.8,33933.91,33662.45,33852.53,33852.53,282170000
2022-11-30,33795.43,34589.77,33583.77,34589.77,34589.77,552490000
2022-12-01,34533.59,34595.51,34129.35,34395.01,34395.01,349580000
2022-12-02,34265.45,34483.21,34039.73,34429.88,34429.88,291060000
2022-12-05,34335.73,34335.73,33846.81,33947.1,33947.1,315960000
2022-12-06,33936.87,34006.63,33418.59,33596.34,33596.34,307790000
2022-12-07,33556.4,33774.27,33503.67,33597.92,33597.92,295400000
2022-12-08,33695.97,33899.17,33642.46,33781.48,33781.48,272730000
2022-12-09,33746.71,33844.63,33462.65,33476.46,33476.46,292620000
2022-12-12,33519.5,34005.04,33519.5,34005.04,34005.04,321120000
2022-12-13,34268.44,34712.28,33890.88,34108.64,34108.64,443980000
2022-12-14,34086.07,34395.65,33704.17,33966.35,33966.35,344320000
2022-12-15,33773.0,33773.0,33016.16,33202.22,33202.22,394300000
2022-12-16,33166.46,33166.46,32654.59,32920.46,32920.46,788120000
2022-12-19,32921.45,33038.94,32581.97,32757.54,32757.54,330040000
2022-12-20,32735.24,32992.23,32649.45,32849.74,32849.74,303980000
2022-12-21,33028.09,33437.84,33028.09,33376.48,33376.48,328020000
2022-12-22,33233.35,33233.35,32573.43,33027.49,33027.49,342110000
2022-12-23,32961.06,33226.14,32814.02,33203.93,33203.93,221050000
2022-12-27,33224.23,33387.72,33069.58,33241.56,33241.56,246020000
2022-12-28,33264.76,33379.55,32869.15,32875.71,32875.71,254300000
2022-12-29,33021.43,33293.42,33020.35,33220.8,33220.8,245840000
2022-12-30,33121.61,33152.55,32847.82,33147.25,33147.25,296190000
2023-01-03,33148.9,33387.52,32850.57,33136.37,33136.37,358610000
2023-01-04,33165.14,33409.1,33033.48,33269.77,33269.77,383350000
2023-01-05,33191.72,33191.72,32812.33,32930.08,32930.08,342660000
2023-01-06,33055.3,33710.66,32997.39,33630.61,33630.61,365500000
2023-01-09,33664.39,33935.11,33487.66,33517.65,33517.65,327850000
2023-01-10,33516.43,33726.54,33421.8,33704.1,33704.1,269500000
2023-01-11,33754.03,33974.69,33711.04,33973.01,33973.01,301650000
2023-01-12,34047.86,34292.67,33792.1,34189.97,34189.97,308200000
2023-01-13,34075.31,34342.32,33915.49,34302.61,34302.61,274120000
2023-01-17,34222.32,34269.97,33860.67,33910.85,33910.85,355390000
2023-01-18,33948.49,34016.53,33269.9,33296.96,33296.96,354570000
2023-01-19,33171.35,33227.49,32982.05,33044.56,33044.56,321330000
2023-01-20,33073.46,33381.95,32948.93,33375.49,33375.49,369420000
2023-01-23,33439.56,33782.88,33316.25,33629.56,33629.56,357540000
2023-01-24,33444.72,33782.92,33310.56,33733.96,33733.96,305710000
2023-01-25,33538.36,33773.09,33273.21,33743.84,33743.84,344390000
2023-01-26,33771.66,33953.79,33635.6,33949.41,33949.41,333740000
2023-01-27,33952.93,34164.33,33830.85,33978.08,33978.08,444130000
2023-01-30,33909.21,34055.29,33695.18,33717.09,33717.09,346040000
2023-01-31,33803.56,34095.23,33664.91,34086.04,34086.04,360250000
2023-02-01,34039.6,34334.7,33581.42,34092.96,34092.96,370130000
2023-02-02,34129.3,34145.14,33814.78,34053.94,34053.94,442570000
2023-02-03,33926.3,34179.58,33813.86,33926.01,33926.01,425150000
2023-02-06,33874.44,33962.84,33683.58,33891.02,33891.02,296400000
2023-02-07,33769.78,34240.0,33634.1,34156.69,34156.69,361630000
2023-02-08,34132.9,34161.65,33899.79,33949.01,33949.01,324090000
2023-02-09,34105.61,34252.57,33607.13,33699.88,33699.88,347530000
2023-02-10,33671.54,33897.31,33591.99,33869.27,33869.27,289720000
2023-02-13,33887.39,34249.6,33887.39,34245.93,34245.93,303580000
2023-02-14,34194.09,34331.47,33827.45,34089.27,34089.27,291750000
2023-02-15,34008.63,34130.49,33833.1,34128.05,34128.05,269850000
2023-02-16,33992.09,34041.16,33686.59,33696.85,33696.85,317540000
2023-02-17,33677.01,33846.64,33517.73,33826.69,33826.69,303770000
2023-02-21,33699.69,33699.69,33115.74,33129.59,33129.59,348320000
2023-02-22,33169.33,33245.97,32948.27,33045.09,33045.09,325330000
2023-02-23,33175.39,33272.4,32795.67,33153.91,33153.91,288130000
2023-02-24,32999.19,32999.19,32643.48,32816.92,32816.92,277120000
2023-02-27,32906.16,33189.28,32814.18,32889.09,32889.09,246230000
2023-02-28,32873.47,32873.47,32636.43,32656.7,32656.7,308690000
2023-03-01,32656.37,32746.15,32500.71,32661.84,32661.84,296340000
2023-03-02,32780.97,33083.45,32665.85,33003.57,33003.57,319320000
2023-03-03,33076.33,33405.82,33008.41,33390.97,33390.97,302950000
2023-03-06,33425.32,33572.22,33383.47,33431.44,33431.44,329820000
2023-03-07,33428.31,33453.25,32838.21,32856.46,32856.46,301590000
2023-03-08,32872.08,32903.44,32612.7,32798.4,32798.4,242760000
2023-03-09,32876.83,32990.46,32190.6,32254.86,32254.86,318640000
2023-03-10,32185.14,32422.1,31783.41,31909.64,31909.64,400240000
2023-03-13,31819.93,32240.35,31624.87,31819.14,31819.14,431150000
2023-03-14,32055.29,32306.59,31805.4,32155.4,32155.4,395730000
2023-03-15,31759.87,31906.47,31429.82,31874.57,31874.57,428110000
2023-03-16,31827.65,32281.61,31571.46,32246.55,32246.55,444390000
2023-03-17,32217.32,32217.32,31728.7,31861.98,31861.98,722090000
2023-03-20,31872.33,32280.07,31872.33,32244.58,32244.58,360210000
2023-03-21,32420.71,32593.68,32346.12,32560.6,32560.6,367470000
2023-03-22,32570.19,32761.89,32020.46,32030.11,32030.11,333030000
2023-03-23,32101.49,32511.49,31864.74,32105.25,32105.25,335430000
2023-03-24,32038.22,32257.24,31805.18,32237.53,32237.53,317080000
2023-03-27,32276.72,32564.0,32276.72,32432.08,32432.08,291560000
2023-03-28,32434.85,32551.01,32295.5,32394.25,32394.25,248560000
2023-03-29,32566.54,32728.04,32539.94,32717.6,32717.6,317450000
2023-03-30,32807.43,32905.8,32682.87,32859.03,32859.03,289100000
2023-03-31,32901.96,33291.0,32901.96,33274.15,33274.15,353740000
2023-04-03,33245.78,33632.9,33245.78,33601.15,33601.15,316610000
2023-04-04,33594.79,33634.72,33275.62,33402.38,33402.38,287790000
2023-04-05,33394.6,33543.84,33376.27,33482.72,33482.72,288100000
2023-04-06,33420.96,33525.96,33325.37,33485.29,33485.29,258680000
2023-04-10,33425.25,33590.24,33343.43,33586.52,33586.52,232920000
2023-04-11,33586.75,33781.29,33586.75,33684.79,33684.79,241440000
2023-04-12,33764.21,33895.43,33593.32,33646.5,33646.5,260310000
2023-04-13,33668.97,34054.99,33605.17,34029.69,34029.69,277240000
2023-04-14,33981.71,34082.94,33730.85,33886.47,33886.47,276720000
2023-04-17,33930.46,33991.23,33796.91,33987.18,33987.18,235830000
2023-04-18,33965.16,34018.62,33791.89,33976.63,33976.63,256480000
2023-04-19,33889.83,33957.98,33814.65,33897.01,33897.01,254110000
2023-04-20,33740.6,33875.39,33677.74,33786.62,33786.62,309680000
2023-04-21,33793.6,33858.83,33688.57,33808.96,33808.96,294960000
2023-04-24,33805.04,33891.15,33726.09,33875.4,33875.4,260220000
2023-04-25,33828.34,33875.49,33525.39,33530.83,33530.83,302750000
2023-04-26,33596.34,33645.83,33235.85,33301.87,33301.87,325370000
2023-04-27,33381.66,33859.75,33374.65,33826.16,33826.16,347460000
2023-04-28,33797.43,34104.56,33728.37,34098.16,34098.16,358270000
2023-05-01,34116.81,34257.83,34030.14,34051.7,34051.7,248600000
2023-05-02,34017.62,34017.75,33436.66,33684.53,33684.53,275730000
2023-05-03,33726.64,33811.84,33396.05,33414.24,33414.24,292780000
2023-05-04,33347.78,33354.86,32937.5,33127.74,33127.74,317320000
2023-05-05,33248.55,33748.43,33248.55,33674.38,33674.38,318570000
2023-05-08,33715.15,33747.49,33509.23,33618.69,33618.69,225680000
2023-05-09,33589.85,33656.4,33509.72,33561.81,33561.81,235140000
2023-05-10,33707.2,33772.09,33239.45,33531.33,33531.33,278730000
2023-05-11,33383.89,33389.88,33127.7,33309.51,33309.51,306790000
2023-05-12,33370.58,33406.4,33110.61,33300.62,33300.62,228720000
2023-05-15,33321.21,33400.3,33161.93,33348.6,33348.6,224520000
2023-05-16,33275.37,33290.85,33006.19,33012.14,33012.14,247670000
2023-05-17,33092.48,33472.38,33050.41,33420.77,33420.77,310710000
2023-05-18,33374.56,33579.91,33212.09,33535.91,33535.91,333070000
2023-05-19,33582.95,33652.9,33336.66,33426.63,33426.63,315210000
2023-05-22,33408.54,33512.3,33207.85,33286.58,33286.58,271480000
2023-05-23,33190.6,33310.17,33013.29,33055.51,33055.51,294260000
2023-05-24,33021.76,33031.75,32752.44,32799.92,32799.92,253320000
2023-05-25,32854.26,32870.43,32586.56,32764.65,32764.65,371260000
2023-05-26,32795.5,33162.06,32795.5,33093.34,33093.34,333800000
2023-05-30,33103.65,33132.7,32893.97,33042.78,33042.78,324220000
2023-05-31,32948.71,32984.83,32739.73,32908.27,32908.27,695130000
2023-06-01,32929.85,33167.75,32704.51,33061.57,33061.57,349460000
2023-06-02,33187.58,33805.0,33187.58,33762.76,33762.76,389260000
2023-06-05,33771.13,33804.22,33552.79,33562.86,33562.86,371100000
2023-06-06,33547.67,33631.25,33399.69,33573.28,33573.28,295700000
2023-06-07,33562.47,33708.78,33546.11,33665.02,33665.02,351540000
2023-06-08,33656.98,33873.81,33630.04,33833.61,33833.61,272720000
2023-06-09,33852.44,33975.32,33787.16,33876.78,33876.78,263230000
2023-06-12,33906.8,34077.84,33878.46,34066.33,34066.33,309500000
2023-06-13,34111.08,34310.28,34107.98,34212.12,34212.12,310680000
2023-06-14,34044.7,34151.42,33783.55,33979.33,33979.33,358490000
2023-06-15,33945.98,34488.98,33945.98,34408.06,34408.06,362530000
2023-06-16,34464.02,34588.68,34285.69,34299.12,34299.12,609150000
2023-06-20,34206.66,34206.66,33915.93,34053.87,34053.87,344620000
2023-06-21,33990.56,34097.93,33876.17,33951.52,33951.52,326240000
2023-06-22,33900.47,34003.56,33835.39,33946.71,33946.71,278550000
2023-06-23,33835.66,33835.66,33646.49,33727.43,33727.43,382710000
2023-06-26,33730.79,33819.49,33610.32,33714.71,33714.71,267560000
2023-06-27,33739.03,33975.65,33730.39,33926.74,33926.74,296260000
2023-06-28,33881.38,33903.76,33755.92,33852.66,33852.66,268050000
2023-06-29,33854.57,34147.68,33828.63,34122.42,34122.42,279940000
2023-06-30,34269.92,34467.35,34269.92,34407.6,34407.6,353290000
2023-07-03,34369.78,34465.6,34286.54,34418.47,34418.47,157600000
2023-07-05,34344.72,34376.11,34226.98,34288.64,34288.64,278250000
2023-07-06,34171.39,34171.39,33771.47,33922.26,33922.26,296240000
2023-07-07,33837.07,34036.38,33716.75,33734.88,33734.88,274730000
2023-07-10,33705.68,33958.36,33705.68,33944.4,33944.4,301540000
2023-07-11,34056.94,34288.87,33993.01,34261.42,34261.42,281650000
2023-07-12,34395.28,34586.94,34308.78,34347.43,34347.43,334080000
2023-07-13,34412.31,34482.26,34365.33,34395.14,34395.14,276380000
2023-07-14,34425.33,34592.26,34425.33,34509.03,34509.03,301910000
2023-07-17,34499.74,34665.15,34418.72,34585.35,34585.35,359780000
2023-07-18,34597.08,34986.36,34530.61,34951.93,34951.93,388390000
2023-07-19,34991.21,35234.05,34991.21,35061.21,35061.21,369620000
2023-07-20,35091.98,35372.77,35091.98,35225.18,35225.18,342320000
2023-07-21,35274.32,35340.66,35186.05,35227.69,35227.69,476660000
2023-07-24,35230.79,35463.97,35230.79,35411.24,35411.24,286170000
2023-07-25,35421.49,35527.57,35365.26,35438.07,35438.07,309330000
2023-07-26,35345.99,35633.61,35306.27,35520.12,35520.12,347330000
2023-07-27,35558.79,35645.35,35216.58,35282.72,35282.72,352230000
2023-07-28,35443.49,35565.51,35355.15,35459.29,35459.29,369000000
2023-07-31,35465.97,35566.95,35430.22,35559.53,35559.53,333140000
2023-08-01,35585.99,35679.13,35526.61,35630.68,35630.68,261000000
2023-08-02,35551.92,35551.92,35226.26,35282.52,35282.52,301320000
2023-08-03,35194.56,35348.2,35122.32,35215.89,35215.89,264870000
2023-08-04,35230.13,35506.88,35033.76,35065.62,35065.62,342030000
2023-08-07,35125.6,35497.38,35125.6,35473.13,35473.13,301690000
2023-08-08,35345.4,35346.64,35007.41,35314.49,35314.49,308550000
2023-08-09,35324.28,35370.89,35058.73,35123.36,35123.36,315450000
2023-08-10,35231.54,35578.58,35107.6,35176.15,35176.15,340730000
2023-08-11,35111.36,35354.6,35059.99,35281.4,35281.4,281950000
2023-08-14,35273.89,35335.45,35169.97,35307.63,35307.63,303580000
2023-08-15,35219.37,35219.37,34908.5,34946.39,34946.39,325690000
2023-08-16,34914.96,35133.56,34757.37,34765.74,34765.74,336590000
2023-08-17,34829.61,34888.48,34440.73,34474.83,34474.83,400800000
2023-08-18,34368.36,34587.07,34263.19,34500.66,34500.66,325870000
2023-08-21,34531.28,34570.96,34248.46,34463.69,34463.69,412300000
2023-08-22,34494.17,34514.04,34256.84,34288.83,34288.83,281320000
2023-08-23,34338.59,34534.72,34321.0,34472.98,34472.98,371470000
2023-08-24,34439.83,34694.68,34093.65,34099.42,34099.42,349000000
2023-08-25,34217.06,34441.91,34029.22,34346.9,34346.9,257440000
2023-08-28,34441.64,34652.91,34441.64,34559.98,34559.98,227200000
2023-08-29,34531.12,34864.42,34531.12,34852.67,34852.67,264100000
2023-08-30,34847.8,35025.57,34811.74,34890.24,34890.24,238900000
2023-08-31,34909.09,35070.21,34719.77,34721.91,34721.91,349850000
2023-09-01,34876.24,34979.18,34720.7,34837.71,34837.71,289070000
2023-09-05,34843.22,34871.26,34635.63,34641.97,34641.97,286340000
2023-09-06,34611.68,34611.68,34291.56,34443.19,34443.19,308910000
2023-09-07,34351.18,34560.86,34351.18,34500.73,34500.73,391190000
2023-09-08,34487.41,34627.85,34473.57,34576.59,34576.59,295980000
2023-09-11,34650.01,34784.52,34578.59,34663.72,34663.72,295460000
2023-09-12,34620.02,34852.61,34560.55,34645.99,34645.99,318670000
2023-09-13,34667.28,34767.11,34509.95,34575.53,34575.53,298570000
2023-09-14,34687.5,34977.97,34687.5,34907.11,34907.11,308300000
2023-09-15,34902.04,34902.04,34572.27,34618.24,34618.24,592240000
2023-09-18,34612.29,34725.06,34545.35,34624.3,34624.3,257310000
2023-09-19,34571.84,34597.56,34311.69,34517.73,34517.73,287530000
2023-09-20,34575.5,34776.28,34434.29,34440.88,34440.88,294110000
2023-09-21,34332.23,34378.3,34058.72,34070.42,34070.42,334330000
2023-09-22,34077.08,34156.15,33947.24,33963.84,33963.84,271270000
2023-09-25,33907.59,34017.53,33780.67,34006.88,34006.88,230070000
2023-09-26,33862.68,33879.93,33569.6,33618.88,33618.88,282200000
2023-09-27,33682.81,33731.65,33306.3,33550.27,33550.27,302720000
2023-09-28,33519.44,33777.9,33473.5,33666.34,33666.34,278930000
2023-09-29,33882.61,33893.68,33407.45,33507.5,33507.5,322200000
2023-10-02,33455.5,33511.91,33219.56,33433.35,33433.35,275630000
2023-10-03,33318.84,33398.54,32916.2,33002.38,33002.38,295140000
2023-10-04,33034.18,33156.45,32873.23,33129.55,33129.55,288690000
2023-10-05,33099.23,33174.38,32941.56,33119.57,33119.57,278480000
2023-10-06,33040.7,33557.69,32846.94,33407.58,33407.58,336610000
2023-10-09,33259.84,33631.81,33253.69,33604.65,33604.65,229800000
